price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
59500000,"145,4",4-к. квартира,2,15,"ул. Трёхгорный Вал, 12с2",Улица 1905 года,0.6
2600000,35,Своб. планировка,1,3,"д. Дудкино, садоводческое некоммерческое товарищество Дары природы, 264",Румянцево,1.7
11700000,"44,6",2-к. квартира,2,9,"Окская ул., 4к1",Текстильщики,1.1
5160400,"32,9",1-к. квартира,14,17,"п. Десёновское, ул. Чароитовая, д. 1, корп. 3",,
26304410,"93,6",3-к. квартира,19,53,"пр-д Шмитовский, д. 39, корп. 1",Шелепиха,0.3
12300000,"51,7",2-к. квартира,3,17,"ул. Верхние Поля, 38к1",Люблино,1.2
10700000,42,2-к. квартира,2,5,"ул. Бирюсинка, 15к1",Щёлковская,1.1
4558400,"20,4",1-к. квартира,13,27,"Пятницкое ш., Сити-комплекс «Перец»",Пятницкое шоссе,0.9
6990000,43,1-к. квартира,16,18,"Варшавское ш., 120к2",Южная,1.0
7230000,"45,3",1-к. квартира,9,11,"6-я Радиальная ул., 3к10",Царицыно,1.9
46000000,90,3-к. апартаменты,55,66,"1-й Красногвардейский пр-д, д. 22, стр. 1",Международная,0.3
17355000,"44,5",Апартаменты-студия,9,14,"ул. Зацепа, 29",Павелецкая,0.4
9143441,"29,3",Апартаменты-студия,11,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
466904400,320,4-к. квартира,1,9,"Машкова ул., 1",Чистые пруды,0.7
8351000,42,1-к. квартира,27,31,"ул. Газгольдерная, вл. 8",Нижегородская,0.6
16800000,"80,4",3-к. квартира,3,12,"Краснодонская ул., 39",Люблино,0.8
7220000,46,2-к. квартира,5,12,"ул. Винокурова, 17к4",Крымская,0.7
10000000,"44,6",2-к. квартира,6,9,"Шоссейная ул., 6",Печатники,0.3
5892989,17,Апартаменты-студия,14,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
231000000,"181,4",3-к. квартира,3,3,"3-й Кадашёвский пер., 7-9с1",Третьяковская,0.2
5860000,22,1-к. апартаменты,4,12,"Москва, Электролитный проезд, 9к1",Нагорная,0.1
11800000,"45,8",2-к. квартира,2,9,"Шоссейная ул., 19к1",Печатники,0.7
18000000,"56,5",2-к. квартира,4,14,"Шарикоподшипниковская ул., 16",Дубровка,0.2
8300000,37,2-к. квартира,10,16,"1-я Мелитопольская ул., 4",Улица Скобелевская,1.7
34000000,115,4-к. квартира,8,22,"Кировоградская ул., 24",Пражская,0.3
6490000,"38,1",2-к. квартира,5,6,"ул. Петра Романова, 7с1",Кожуховская,0.3
6700000,35,1-к. квартира,12,12,"ул. Шверника, 13к4",Крымская,1.0
100000000,"140,5",3-к. квартира,2,6,"Садовническая ул., 80",Павелецкая,0.7
18725760,"57,6",2-к. квартира,2,9,"ул. 3-я Хорошевская, стр. 3, вл. 19",Зорге,0.8
6500000,"17,9",1-к. квартира,5,5,"ул. Буракова, 1к1",Соколиная гора,1.2
12500000,56,3-к. квартира,1,5,"пос. Рублёво, Новорублёвская ул., 7",Строгино,3.4
21821800,"70,9",2-к. квартира,10,53,"пр-д Шмитовский, д. 39, корп. 1",Шелепиха,0.3
17545302,"55,1",2-к. квартира,13,14,"ул. Складочная, вл. 6, корп. 8",Савёловская,1.0
18798568,"53,9",2-к. квартира,9,27,"наб. Нагатинская, вл. 10А, корп. В",Нагатинская,1.0
