price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
281.39,20.26,72.0,1.0,12,Северный,Савёловская,2-к квартира
374.66,24.54,65.5,0.3,41,Центральный,Шелепиха,2-к квартира
213.08,11.57,54.3,0.8,14,Новомосковский,Прокшино,2-к квартира
313.95,13.5,43.0,0.6,9,Северо-восточный,Ботанический сад,2-к квартира
422.44,43.68,103.4,1.0,27,Южный,Нагатинская,4-к квартира
264.77,10.22,38.6,1.3,9,Новомосковский,Прокшино,2-к квартира
349.79,8.36,23.9,0.6,33,Северный,Водный стадион,Квартира-студия
303.48,26.19,86.3,0.8,8,Северо-западный,Спартак,2-к квартира
287.04,15.5,54.0,1.1,16,Западный,Тропарёво,2-к квартира
323.96,20.28,62.6,0.5,25,Северный,Беговая,2-к квартира
198.06,9.21,46.5,2.0,14,Новомосковский,Коммунарка,2-к квартира
265.99,14.31,53.8,0.8,22,Северный,Селигерская,2-к апартаменты
441.18,42.75,96.9,0.7,20,Центральный,Павелецкая,3-к квартира
415.25,9.8,23.6,1.2,30,Западный,Давыдково,Квартира-студия
221.09,17.82,80.6,1.1,18,Северо-восточный,Ботанический сад,3-к апартаменты
170.17,5.99,35.2,0.6,4,Северо-западный,Щукинская,1-к квартира
241.97,14.01,57.9,1.1,21,Центральный,Рижская,2-к апартаменты
318.86,28.57,89.6,1.1,17,Южный,Нагатинская,3-к квартира
302.02,23.92,79.2,1.3,27,Южный,Нагатинская,3-к квартира
179.12,14.24,79.5,2.6,21,Новомосковский,Филатов луг,3-к квартира
300.0,7.11,23.7,0.7,15,Новомосковский,Прокшино,Квартира-студия
285.86,13.95,48.8,0.9,33,Северо-восточный,Владыкино,2-к квартира
273.08,13.9,50.9,0.8,9,Северо-западный,Планерная,3-к квартира
177.41,12.17,68.6,1.1,13,Новомосковский,Рассказовка,2-к квартира
305.05,24.16,79.2,1.3,27,Южный,Нагатинская,3-к квартира
229.93,15.98,69.5,1.0,20,Юго-западный,Бунинская аллея,3-к квартира
305.73,21.34,69.8,1.0,12,Северный,Савёловская,3-к квартира
230.63,11.67,50.6,0.8,13,Новомосковский,Прокшино,2-к квартира
308.88,30.61,99.1,1.1,28,Южный,Нагатинская,3-к квартира
257.9,15.5,60.1,1.1,9,Северный,Беломорская,3-к квартира
210.32,17.94,85.3,1.3,33,Южный,Кантемировская,3-к квартира
284.42,18.26,64.2,0.9,15,Южный,Варшавская,3-к квартира
294.24,19.42,66.0,0.2,32,Северо-восточный,Бутырская,2-к квартира
393.81,25.44,64.6,0.7,55,Северо-восточный,Марьина Роща,2-к квартира
400.56,14.22,35.5,1.0,8,Южный,ЗИЛ,1-к квартира
250.0,9.5,38.0,1.1,9,Юго-восточный,Люблино,2-к квартира
293.1,8.5,29.0,1.1,9,Юго-западный,Ясенево,1-к квартира
368.66,40.0,108.5,0.5,8,Юго-западный,Университет,4-к квартира
210.61,6.95,33.0,3.5,5,Южный,Аннино,1-к квартира
284.22,14.95,52.6,1.5,22,Северо-восточный,Ростокино,2-к квартира
212.0,5.3,25.0,0.2,12,Юго-восточный,Жулебино,Квартира-студия
246.91,14.0,56.7,1.5,5,Северный,Дмитровская,3-к квартира
347.33,13.65,39.3,0.7,22,Северный,Хорошёвская,2-к апартаменты
375.98,14.4,38.3,0.5,17,Западный,Филёвский парк,1-к квартира
715.04,68.93,96.4,0.5,19,Центральный,Красные ворота,2-к апартаменты
267.86,15.0,56.0,0.9,12,Северо-восточный,Бибирево,2-к квартира
216.1,25.5,118.0,0.9,21,Южный,Чертановская,4-к квартира
278.48,11.0,39.5,1.0,8,Новомосковский,Рассказовка,1-к квартира
261.11,14.1,54.0,1.2,16,Юго-западный,Зюзино,2-к квартира
776.79,43.5,56.0,0.5,14,Центральный,Фрунзенская,2-к квартира
570.07,48.0,84.2,0.2,85,Центральный,Кузнецкий мост,1-к апартаменты
157.58,7.8,49.5,0.2,21,Юго-восточный,Волгоградский проспект,2-к квартира
280.9,20.0,71.2,0.8,14,Южный,Технопарк,2-к квартира
202.5,8.1,40.0,0.5,6,Новомосковский,Рассказовка,2-к квартира
219.28,11.6,52.9,1.3,16,Юго-восточный,Юго-Восточная,2-к квартира
208.87,12.95,62.0,1.1,9,Юго-восточный,Юго-Восточная,3-к квартира
332.02,10.99,33.1,0.6,9,Северный,Петровский парк,Квартира-студия
283.87,23.59,83.1,0.3,51,Центральный,Шелепиха,2-к квартира
277.65,12.3,44.3,1.1,15,Восточный,Перово,1-к квартира
210.94,13.5,64.0,0.7,9,Южный,Пражская,3-к квартира
132.84,5.38,40.5,1.6,3,Новомосковский,Рассказовка,Квартира-студия
248.31,11.0,44.3,1.0,9,Южный,Улица академика Янгеля,2-к квартира
196.25,11.5,58.6,1.0,9,Юго-восточный,Юго-Восточная,3-к квартира
218.52,11.8,54.0,0.5,10,Юго-западный,Бунинская аллея,2-к квартира
272.73,12.0,44.0,0.2,5,Юго-восточный,Кузьминки,2-к квартира
248.32,18.5,74.5,2.1,17,Северный,Коптево,3-к квартира
472.81,40.0,84.6,0.1,85,Центральный,Международная,1-к апартаменты
392.5,31.4,80.0,0.5,5,Центральный,Полянка,3-к квартира
715.1,41.19,57.6,0.5,19,Центральный,Красные ворота,1-к апартаменты
185.48,11.5,62.0,2.5,25,Юго-западный,Улица Скобелевская,2-к квартира
286.99,9.93,34.6,0.7,21,Западный,Озёрная,1-к квартира
253.92,8.1,31.9,2.4,9,Северо-восточный,Бабушкинская,1-к квартира
383.33,43.7,114.0,1.1,39,Западный,Минская,3-к квартира
463.18,19.5,42.1,0.7,12,Южный,Технопарк,1-к квартира
236.86,5.59,23.6,3.4,27,Юго-западный,Улица Скобелевская,Квартира-студия
409.02,49.9,122.0,0.8,13,Западный,Крылатское,3-к квартира
294.12,10.0,34.0,1.6,16,Восточный,Перово,1-к квартира
310.81,11.5,37.0,0.5,9,Восточный,Измайловская,2-к квартира
340.91,15.0,44.0,0.5,5,Центральный,Пролетарская,2-к квартира
259.08,15.7,60.6,1.5,25,Новомосковский,Саларьево,2-к квартира
230.42,17.95,77.9,0.6,14,Юго-восточный,Братиславская,3-к квартира
446.43,50.0,112.0,0.5,7,Центральный,Павелецкая,3-к апартаменты
326.54,11.69,35.8,1.0,13,Южный,Тульская,1-к апартаменты
266.67,14.4,54.0,1.1,31,Юго-западный,Улица Скобелевская,2-к квартира
295.14,34.0,115.2,0.8,21,Западный,Раменки,3-к квартира
286.21,16.6,58.0,1.1,9,Южный,Нагатинская,3-к квартира
202.54,11.95,59.0,1.1,9,Южный,Домодедовская,3-к квартира
253.38,16.47,65.0,1.1,12,Северо-восточный,Алтуфьево,3-к квартира
276.92,10.8,39.0,0.6,12,Северо-восточный,Бабушкинская,1-к квартира
277.94,9.7,34.9,0.5,9,Юго-восточный,Лефортово,1-к квартира
309.8,23.7,76.5,0.4,5,Западный,Студенческая,3-к квартира
